3,CLO/2,PUBLIC,10,2014-03-31
4,CLO/1,PUBLIC,10,2014-03-30
5,CLO/4,PUBLIC,1,2014-03-31
6,CLO/3,PUBLIC,1,2014-03-25
7,CLO/1,PUBLIC,1,2014-03-27
8,CLO/1,PUBLIC,20,2014-03-28
8,CLO/4,PUBLIC,10,2014-03-29
9,CLO/3,PUBLIC,100,2014-03-30
9,CLO/2,PUBLIC,1,2014-03-31
10,CLO/2,4248,20,2014-04-01
10,STA/1,4248,1,2014-04-01
11,CLO/2,4248,1,2014-04-01
11,STA/1,4248,1,2014-04-01
12,CLO/2,4248,1,2014-04-01
13,CLO/2,4248,1,2014-04-01
13,STA/1,4248,1,2014-04-01
14,CLO/2,4248,1,2014-04-01
14,STA/1,4248,1,2014-04-01
15,CLO/2,4248,1,2014-04-01
16,CLO/2,4248,1,2014-04-01
16,STA/1,4248,1,2014-04-01
17,CLO/2,4248,1,2014-04-01
18,CLO/2,4248,1,2014-04-01
19,CLO/2,PUBLIC,1,2014-04-04
20,STA/1,4248,1,2014-04-04
21,STA/1,PUBLIC,1,2014-04-04
22,STA/1,PUBLIC,1,2014-04-04
23,STA/1,PUBLIC,1,2014-04-04
24,STA/1,4248,1,2014-04-04
25,STA/1,PUBLIC,1,2014-04-04
26,STA/1,4248,1,2014-04-04
27,STA/1,4248,1,2014-04-04
28,STA/1,PUBLIC,1,2014-04-04
29,STA/1,4248,1,2014-04-04
30,STA/1,PUBLIC,1,2014-04-04
31,STA/1,4248,1,2014-04-04
32,STA/1,PUBLIC,1,2014-04-04
